Dataset name: Short-Term Statistics; Frequency: Monthly; Reference area: Spain; Adjustment indicator: Working day and seasonally adjusted; Concept - STS context: Car registration; Classification - STS context: New passenger car; Institution originating the data flow: European Central Bank; Series variation - STS context: Absolute value
,STS.M.ES.Y.CREG.PC0000.3.ABS
,"Spain - Car registration, New passenger car; Absolute value; European Central Bank; Working day and seasonally adjusted "
Collection:,Summed through period (S)
Period\Unit:,[Pure number ]
2015May,83981.00
2015Apr,82786.00
2015Mar,86106.00
2015Feb,85630.00
2015Jan,83774.00
2014Dec,74240.00
2014Nov,74688.00
2014Oct,78840.00
2014Sep,73163.00
2014Aug,71357.00
2014Jul,65847.00
2014Jun,71926.00
2014May,71652.00
2014Apr,80071.00
2014Mar,63955.00
2014Feb,68400.00
2014Jan,63106.00
2013Dec,63812.00
2013Nov,63328.00
2013Oct,62128.00
2013Sep,59954.00
2013Aug,60280.00
2013Jul,58943.00
2013Jun,60358.00
2013May,59542.00
2013Apr,58595.00
2013Mar,62035.00
2013Feb,58333.00
2013Jan,58148.00
2012Dec,55265.00
2012Nov,52851.00
2012Oct,47876.00
2012Sep,48241.00
2012Aug,70678.00
2012Jul,52614.00
2012Jun,58202.00
2012May,61294.00
2012Apr,58066.00
2012Mar,65821.00
2012Feb,62861.00
2012Jan,66245.00
2011Dec,69284.00
2011Nov,66019.00
2011Oct,65350.00
2011Sep,70294.00
2011Aug,67754.00
2011Jul,66304.00
2011Jun,65820.00
2011May,67796.00
2011Apr,74002.00
2011Mar,65980.00
2011Feb,67323.00
2011Jan,66979.00
2010Dec,67323.00
2010Nov,70075.00
2010Oct,69551.00
2010Sep,71255.00
2010Aug,63558.00
2010Jul,65199.00
2010Jun,95336.00
2010May,90839.00
2010Apr,92835.00
2010Mar,95741.00
2010Feb,93908.00
2010Jan,90902.00
2009Dec,88703.00
2009Nov,94196.00
2009Oct,107658.00
2009Sep,98925.00
2009Aug,85219.00
2009Jul,82231.00
2009Jun,76320.00
2009May,65401.00
2009Apr,66766.00
2009Mar,61139.00
2009Feb,64485.00
2009Jan,74228.00
2008Dec,70412.00
2008Nov,70256.00
2008Oct,79514.00
2008Sep,83767.00
2008Aug,87616.00
2008Jul,92689.00
2008Jun,93894.00
2008May,104349.00
2008Apr,112761.00
2008Mar,112380.00
2008Feb,122705.00
2008Jan,119716.00
2007Dec,150570.00
2007Nov,133790.00
2007Oct,135759.00
2007Sep,132560.00
2007Aug,137796.00
2007Jul,130059.00
2007Jun,134793.00
2007May,134246.00
2007Apr,124048.00
2007Mar,139088.00
2007Feb,126853.00
2007Jan,135245.00
2006Dec,146384.00
2006Nov,141919.00
2006Oct,135874.00
2006Sep,138789.00
2006Aug,140437.00
2006Jul,134838.00
2006Jun,133084.00
2006May,135211.00
2006Apr,137009.00
2006Mar,135690.00
2006Feb,133389.00
2006Jan,137500.00
2005Dec,130469.00
2005Nov,127320.00
2005Oct,119998.00
2005Sep,130465.00
2005Aug,131751.00
2005Jul,130968.00
2005Jun,129001.00
2005May,128436.00
2005Apr,124738.00
2005Mar,125957.00
2005Feb,126806.00
2005Jan,131260.00
2004Dec,124373.00
2004Nov,132275.00
2004Oct,132343.00
2004Sep,125024.00
2004Aug,121026.00
2004Jul,126977.00
